Numéro ID,CLub,Ville ,Ligues,District 
523061,SIX FOURS LE BRUSC F.C.,SIX FOURS LES PLAGES,,Var
882212,SP. C. HOSPITALIER,DRAGUIGNAN,,Var
503315,SP.C. BARJOLAIS,BARJOLS,,Var
500352,SP.C. COGOLINOIS,COGOLIN,,Var
844509,SP.C. DE LA RESERVE,TOULON,,Var
865339,SPORT SANTE SIX FOURS LE BRUSC,SIX FOURS LES PLAGES,,Var
864482,SPORTING CLUB CARCES-COTIGNAC,COTIGNAC,,Var
563544,SPORTING CLUB NANSAIS,NANS LES PINS,,Var
540757,SPORTING CLUB PLANTOURIAN,PLAN DE LA TOUR,,Var
581717,SPORTING CLUB TOULON,TOULON,,Var
582330,SPORTING CLUB TOURVAIN,TOURVES,,Var
563800,SPORTING CLUB VALOIS,LE VAL,,Var
850479,ST MAX FUTSAL,ST MAXIMIN LA STE BAUME,,Var
561032,ST TROPEZ / LA BAIE,ST TROPEZ LA CROIX VALMER,,Var
520685,ST. TRANSIAN,TRANS EN PROVENCE,,Var
503092,ST.O. LONDAIS,LA LONDE,,Var
554499,TOULON EST FUTSAL,TOULON,,Var
565080,TOULON METROPOLE FUTSAL,TOULON,,Var
582354,TOULON TREMPLIN,TOULON,,Var
881010,U. MAHORAISE DE TOULON,TOULON,,Var
554251,U. S. CARQUEIRANNE LA CRAU,CAR LA CRAU,,Var
580844,U. S. DU VAL D'ISSOLE,VAL ISSOLE A GAREOULT,,Var
503322,U.A. VALETTOISE,LA VALETTE DU VAR,,Var
503050,U.S. BANDOLAISE,BANDOL,,Var
529735,U.S. CABASSOISE,CABASSE,,Var
547578,U.S. CADIERENNE,LA CADIERE D AZUR,,Var
545621,U.S. CUERS PIERREFEU,CUERS PIERREFEU DU VAR,,Var
500452,U.S. LUCOISE,LE LUC,,Var
521055,U.S. OLLIOULAISE,OLLIOULES,,Var
513172,U.S. PIGNANTAISE,PIGNANS,,Var
519052,U.S. PRADETANE,LE PRADET,,Var
520228,U.S. RIANS,RIANS,,Var
503215,U.S. SANARYENNE,SANARY SUR MER,,Var
503261,U.S. ST MANDRIER,ST MANDRIER SUR MER,,Var
564707,UNION SPORTIVE ZACHARIENNE,ST ZACHARIE,,Var
521680,USAM TOULON,TOULON SIEGE LA CRAU,,Var
860456,WALLIS ET FUTUNA FREJUS BEACH SOCCER WFFBS,FREJUS,,Var
790343,A. S. DE MONACO FOOTBALL FEMININ,MONACO,,Alpes-Maritimes
538595,A.OM. TOURRETTE LEVENS,TOURRETTE LEVENS,,Alpes-Maritimes
533298,A.S. BAT.TRA.PUB. COTE AZUR NICE,NICE,,Alpes-Maritimes
500117,A.S. CANNES,CANNES,,Alpes-Maritimes
517305,A.S. DE LA FONTONNE ANTIBES,ANTIBES,,Alpes-Maritimes
540060,A.S. DE LA ROYA,FONTAN,,Alpes-Maritimes
524142,A.S. DE SOSPEL,MOULINET,,Alpes-Maritimes
552888,A.S. DES MOULINS,NICE,,Alpes-Maritimes
500091,A.S. MONACO F.C.,MONACO,,Alpes-Maritimes
528721,A.S. ROQUEBILLIERE,ROQUEBILLIERE,,Alpes-Maritimes
503038,A.S. ROQUEBRUNE CAP MARTIN,ROQUEBRUNE CAP MARTIN,,Alpes-Maritimes
523610,A.S. ROQUEFORTOISE,ROQUEFORT LES PINS,,Alpes-Maritimes
538693,A.S. ST MARTIN DU VAR,ST MARTIN DU VAR,,Alpes-Maritimes
539806,A.S. TRAMINOTS ALPES MARITIMES,NICE,,Alpes-Maritimes
503103,A.S. VENCOISE,VENCE,,Alpes-Maritimes
614732,A.S.C. HOSP. ANTIBES JUAN L/PINS,ANTIBES,,Alpes-Maritimes
603720,A.S.L. MUNICIPAUX CANNES,CANNES,,Alpes-Maritimes
614729,AMADEUS A.A.,VALBONNE,,Alpes-Maritimes
563755,AS CAGNES LE CROS FOOTBALL,CAGNES SUR MER,,Alpes-Maritimes
552283,AS FALICON,FALICON,,Alpes-Maritimes
581720,ASM FUTSAL,MONACO,,Alpes-Maritimes
614927,ASPTT CAGNES S/MER,CAGNES SUR MER,,Alpes-Maritimes
503336,ASPTT NICE,NICE,,Alpes-Maritimes
553402,ASSOCIATION CULTURES ET AVENIR,CANNES,,Alpes-Maritimes
564635,ASSOCIATION SPORTIVE DU DIOCESE DE NICE,NICE,,Alpes-Maritimes
664894,ASSOCIATION SPORTIVE STELLA CORSA NICE,NICE,,Alpes-Maritimes
560620,ASSOCIATION SPORTIVE VALLEROISE DU FOOTBALL,ST VALLIER DE THIEY,,Alpes-Maritimes
545053,AVENIR SPORTIF LEVENSOIS,LEVENS,,Alpes-Maritimes
542525,C.D.J BAR SUR LOUP,LE BAR SUR LOUP,,Alpes-Maritimes
551141,CANNES FUTSAL,CANNES,,Alpes-Maritimes
,,,,Alpes-Maritimes
564464,CASTEL FOOTBALL CLUB,NICE,,Alpes-Maritimes
503079,CAVIGAL NICE S.,NICE,,Alpes-Maritimes
541495,CERC.ART.S. DES EAUX,NICE,,Alpes-Maritimes
515811,CERCLE ATHLÉTIQUE PEYMEINADE,PEYMEINADE,,Alpes-Maritimes
660242,CLUB DES SPORTS VESUBIE SECTION FOOTBALL,ST MARTIN VESUBIE,,Alpes-Maritimes
547759,DRAP FOOTBALL,DRAP,,Alpes-Maritimes
538592,ENT. CONQUE MADELEINE VICTORINE,NICE,,Alpes-Maritimes
550242,ENT. S. DES BAOUS F.,LA GAUDE,,Alpes-Maritimes
503433,ENT. ST SYLVESTRE NICE NORD,NICE,,Alpes-Maritimes
503086,ENT.S. DU CANNET ROCHEVILLE,CANNET LE,,Alpes-Maritimes
552848,ENT.S. LUCERAMOISE,LUCERAM,,Alpes-Maritimes
511513,ET. DE MENTON,MENTON,,Alpes-Maritimes
512806,ET.S. CONTOISE,CONTES,,Alpes-Maritimes
526875,ET.S. ST ANDRE,ST ANDRE,,Alpes-Maritimes
553385,EURO AFRICAN ASSOCIATION,NICE,,Alpes-Maritimes
590190,F. C. DE CIMIEZ,NICE,,Alpes-Maritimes
852266,F. C. FELLOW NICE,NICE,,Alpes-Maritimes
515315,F.C. BEAUSOLEIL,BEAUSOLEIL,,Alpes-Maritimes
512382,F.C. D'ANTIBES JUAN LES PINS,ANTIBES,,Alpes-Maritimes
526551,F.C. DE CARROS,CARROS,,Alpes-Maritimes
540646,F.C. DE FOURNAS VALLAURIS,VALLAURIS,,Alpes-Maritimes
528997,F.C. DE MOUGINS COTE D'AZUR,MOUGINS,,Alpes-Maritimes
514129,F.C. DES VALLEES VAR VAIRE,PUGET THENIERS,,Alpes-Maritimes
535108,F.C. GOLFE JUAN VALLAURIS,VALLAURIS,,Alpes-Maritimes
611329,F.C.MUNICIPAUX COM.ART.CAGNES S/,CAGNES SUR MER,,Alpes-Maritimes
564031,FOOTBALL CLUB CANNES RANGUIN,CANNES,,Alpes-Maritimes
864399,FOOTBALL CLUB COLOMARS,COLOMARS,,Alpes-Maritimes
590344,FOOTBALL CLUB DU TIGNET,LE TIGNET,,Alpes-Maritimes
565305,FOOTBALL CLUB GRIFFON,ST LAURENT DU VAR,,Alpes-Maritimes
564484,FOOTBALL CLUB LA COLLE SUR LOUP,LA COLLE SUR LOUP,,Alpes-Maritimes
560726,FOOTBALL CLUB SAINT CÉZAIRE,ST CEZAIRE SUR SIAGNE,,Alpes-Maritimes
537741,GAZELEC S. NICE,NICE,,Alpes-Maritimes
560750,GROUPEMENT JEUNES ET FEMININS LEVENS FALICON,LEVENS,,Alpes-Maritimes
560659,GROUPEMENT JEUNES O. ANTIBES JUAN LES PINS,ANTIBES,,Alpes-Maritimes
614580,GRPT S. EMPLOYES MUNICIPAUX NICE,NICE,,Alpes-Maritimes
565302,HESSAI 06,NICE,,Alpes-Maritimes
561109,INTER CANNES,CANNES,,Alpes-Maritimes
528236,J.S. JUAN LES PINS,ANTIBES,,Alpes-Maritimes
565171,JEUNESSE AZURÉENNE,CAGNES SUR MER,,Alpes-Maritimes
665006,L'AFTER,NICE,,Alpes-Maritimes
561116,L'ÉQUIPE NIÇOISE ACADÉMIE,NICE,,Alpes-Maritimes
582719,LA SEMEUSE,NICE,,Alpes-Maritimes
564920,LES AILES DE L'ESPOIR FOOTBALL CLUB,NICE,,Alpes-Maritimes
549019,MACCABI OSI NICE,NICE,,Alpes-Maritimes
582024,MANDELIEU FUTSAL-ACADEMY,MANDELIEU LA NAPOULE,,Alpes-Maritimes
565169,MONACO UNITED,MONACO,,Alpes-Maritimes
536117,MONTET BORNALA C. NICE,NICE,,Alpes-Maritimes
553638,NICE FUTSAL CLUB,NICE,,Alpes-Maritimes
545663,O. SUQUETAN CANNES CROISETTE,CANNES,,Alpes-Maritimes
549012,O.C. BLAUSASC,BLAUSASC,,Alpes-Maritimes
500208,O.G.C. NICE COTE D'AZUR,NICE,,Alpes-Maritimes
552737,OLYMPIQUE D'ANTIBES JUAN LES PINS - CDJ FOOT,ANTIBES,,Alpes-Maritimes
561247,PEILLE FOOTBALL CLUB,PEILLE,,Alpes-Maritimes
500420,RACING CLUB DE GRASSE,GRASSE,,Alpes-Maritimes
503043,RAPID OM. DE MENTON,MENTON,,Alpes-Maritimes
550291,REV.S. ST ISIDORE,NICE,,Alpes-Maritimes
582176,RIVIERA FOOTBALL CLUB,ST JEAN CAP FERRAT,,Alpes-Maritimes
665159,SAN JOSE FOOTBALL CLUB,NICE,,Alpes-Maritimes
514073,SP.C. MOUANS SARTOUX,MOUANS SARTOUX,,Alpes-Maritimes
521053,ST. DE VALLAURIS,VALLAURIS,,Alpes-Maritimes
,,,,Alpes-Maritimes
503178,ST. LAURENTIN ST LAURENT DU VAR,ST LAURENT DU VAR,,Alpes-Maritimes
537167,ST.O. ROQUETTAN,LA ROQUETTE SUR SIAGNE,,Alpes-Maritimes
564411,TENNIS BALLON VALLAURIS GOLFE JUAN,VALLAURIS,,Alpes-Maritimes
609905,THALES CANNES F.C.,CANNES,,Alpes-Maritimes
539820,TOURRETTES SUR LOUP F.,TOURRETTES SUR LOUP,,Alpes-Maritimes
527127,TRINITE SPORTS FOOTBALL CLUB,LA TRINITE,,Alpes-Maritimes
560244,TROSPORT,NICE,,Alpes-Maritimes
522570,U.S. BIOTOISE,BIOT,,Alpes-Maritimes
503513,U.S. CANNES BOCCA O.,CANNES,,Alpes-Maritimes
521872,U.S. CAP D'AIL,CAP D AIL,,Alpes-Maritimes
509870,U.S. MANDELIEU LA NAPOULE,MANDELIEU LA NAPOULE,,Alpes-Maritimes
519115,U.S. PEGOMAS,PEGOMAS,,Alpes-Maritimes
519972,U.S. TURBIASQUE,LA TURBIE,,Alpes-Maritimes
510099,U.S. VALBONNE SOPHIA ANTIPOLIS,VALBONNE,,Alpes-Maritimes
565332,US ARMENIENNE DE NICE,NICE,,Alpes-Maritimes
582699,USONAC ST ROCH VIEUX NICE,NICE,,Alpes-Maritimes
565331,VENCE FUTSAL,VENCE,,Alpes-Maritimes
564488,VILLENEUVE LOUBET FOOTBALL,VILLENEUVE LOUBET,,Alpes-Maritimes
554311,A. GEST.ANIM.CENTRE SOCIOCULTUREL DEL RIO,MARSEILLE 15,,Bouche du rhône 
590431,A. S. C. VIVAUX SAUVAGERE 10ÈME,MARSEILLE 10,,Bouche du rhône 
581246,A. S. DES CINQ AVENUES LONGCHAMP,MARSEILLE 04,,Bouche du rhône 
548209,A. S. LA BOMBARDIERE,MARSEILLE 12,,Bouche du rhône 
539552,A. S. MARSEILLAISE ST LOUP 10ÈME ARRONDISSEMENT,MARSEILLE 10,,Bouche du rhône 
580438,A. S. MARTIGUES SUD,MARTIGUES,,Bouche du rhône 
520390,A.AM.S. VAL ST ANDRE,AIX EN PROVENCE,,Bouche du rhône 
500490,A.C. PORT DE BOUC,PORT DE BOUC,,Bouche du rhône 
503055,A.S. CHARLEVALOISE,CHARLEVAL,,Bouche du rhône 
547786,A.S. DE COUDOUX,COUDOUX,,Bouche du rhône 
518961,A.S. GEMENOSIENNE,GEMENOS,,Bouche du rhône 
503249,A.S. GRANSOISE,GRANS,,Bouche du rhône 
